Age,Gender,Education,Monthly Income,Occupation,Country,City,Marital Status,Has Children,Children Use Learning Apps,Device,Internet Quality,Hours Online,Time of Day,Learning Mode,App Comfort Level,Ad Channel,Ad Click Frequency,Ad Format,Ad Message Clarity,Ad Design Appeal,Motivation,Learning Goals,Preferred Subjects,Preferred App Features,Selection Factors,Learning Challenges,Free Trial Willingness,Courses Taken Last Year,Signed Up,Sign-up Reason,Paid Subscription,Payment Preference,Willingness to Spend,Non-Subscription Reasons,Satisfaction Level,Would Recommend,Features Used Most,Other Apps Used,Desired Improvement
18-24,Female,Postgraduate,>5000,Working Professional,Paraguay,Millertown,Married,No,Not applicable,Smartphone,Average,<1,Night,One-on-one,5,Google Search,Often,Text,Somewhat,Neutral,"Certification, Career growth, Other, Peer recommendation","Start a business, Improve current job skills, Pass exams, Earn certifications, Switch careers, Personal enrichment","Exam prep, Humanities, Languages, Technology","Offline access, Other, Personalized content, Recorded videos","Other, App design, Peer reviews, Content quality","Poor internet, Time management, Lack of support, Boring content, Technical issues",5,3-5,Yes,Value for money,No,Annual subscription,>100,"Privacy concerns, Prefer free content, Not enough content, Lack of reviews, No payment method, Price",5,Yes,"Other, Live sessions, Leaderboards, Notes/highlighting, Discussion boards, Progress tracking","Khan Academy, Skillshare, None, Coursera, Udemy, Byju’s",More affordable
35-44,Female,Postgraduate,500-1000,Working Professional,Reunion,West Sara,Single,No,Not applicable,Smartphone,Excellent,2-4,Evening,Live classes,5,Instagram,Sometimes,Video,Yes,Appealing,"Hobby learning, Skill development, Other, Career growth","Personal enrichment, Get a new job, Improve current job skills, Networking, Start a business","Technology, Exam prep, Science, Humanities, Business","Personalized content, Recorded videos, Live classes, Gamification","App design, Customer support, Certification, Flexibility, Tutor quality, Content quality","Distractions, Time management, Lack of motivation, Other",3,>10,No,Other,No,Monthly subscription,10-20,"No payment method, Complicated signup, Price, Privacy concerns, Lack of reviews, Other",2,No,"Notes/highlighting, Live sessions, Progress tracking, Leaderboards","Byju’s, None, Coursera, Skillshare, Unacademy, edX",More affordable
45-54,Male,Undergraduate,<500,Entrepreneur,Mauritania,South David,Divorced,No,Not applicable,Other,Average,>6,Early morning,Group sessions,5,LinkedIn,Never,Pop-up,Yes,Very appealing,"Exam preparation, Other, Certification, Academic help, Peer recommendation","Networking, Other, Start a business, Earn certifications","Languages, Business, Exam prep, Humanities, Other","Quizzes, Gamification, Personalized content, Peer interaction","App design, Peer reviews, Certification, Flexibility","Distractions, Technical issues, Lack of motivation, Cost",5,>10,Yes,Lack of interest,Yes,Free only,<10,,1,Yes,"Live sessions, Leaderboards, Downloadable resources, Discussion boards, Notes/highlighting, Progress tracking","Other, Udemy, Unacademy, Byju’s, None, Khan Academy",More courses
25-34,Female,Undergraduate,<500,Student,Micronesia,Nicoleburgh,Married,Yes,Not applicable,Laptop/PC,Average,>6,Evening,Self-paced,5,Google Search,Rarely,Image,Yes,Appealing,"Parental suggestion, Other, Academic help, Skill development, Career growth, Hobby learning","Earn certifications, Start a business, Other, Personal enrichment, Networking","Humanities, Business, Other, Exam prep, Languages","Recorded videos, Other, Certificates, Quizzes","App design, Certification, Peer reviews, Customer support","Boring content, Lack of motivation, Distractions, Other",4,0,Yes,Unclear benefits,Yes,Monthly subscription,50-100,,4,No,"Downloadable resources, Discussion boards, Quizzes, Other","Coursera, Byju’s, Khan Academy, Skillshare",More live sessions
45-54,Male,Postgraduate,1000-2000,Student,Mozambique,Bakerhaven,Single,No,Not applicable,Tablet,Good,4-6,Night,Self-paced,1,Instagram,Never,Image,Yes,Appealing,"Certification, Academic help, Skill development, Exam preparation","Pass exams, Networking, Personal enrichment, Improve current job skills, Other","Humanities, Exam prep, Science, Languages","Quizzes, Gamification, Offline access, Other, Certificates, Live classes","Other, Tutor quality, Price, Certification, Peer reviews, Content quality","Poor internet, Boring content, Technical issues, Lack of support",3,3-5,No,Trust in brand,No,Annual subscription,>100,"Not enough content, Privacy concerns, No payment method, Complicated signup, Other",5,Yes,"Notes/highlighting, Community forums, Progress tracking, Other, Live sessions, Leaderboards","Byju’s, edX, Other, Skillshare",Better UI
25-34,Female,High School,<500,Other,Liechtenstein,East Jeffrey,Other,No,Not applicable,Smartphone,Good,4-6,Evening,One-on-one,4,Google Search,Often,Text,Somewhat,Neutral,"Peer recommendation, Exam preparation, Academic help, Career growth, Certification, Other","Switch careers, Get a new job, Other, Pass exams, Improve current job skills, Personal enrichment","Business, Exam prep, Other, Arts, Science, Humanities","Gamification, Personalized content, Other, Peer interaction","Peer reviews, Certification, Customer support, App design, Tutor quality, Price","Time management, Cost, Other, Lack of support, Technical issues",1,>10,No,Interesting content,No,Annual subscription,20-50,"Other, Privacy concerns, Not enough content, Prefer free content, Price, Lack of reviews",4,Yes,"Progress tracking, Notes/highlighting, Downloadable resources, Quizzes","Other, Byju’s, Khan Academy, Unacademy",Better support
18-24,Male,Postgraduate,<500,Working Professional,United Arab Emirates,Jamesland,Single,Yes,Not applicable,Tablet,Average,>6,Night,Live classes,4,WhatsApp,Always,Pop-up,Somewhat,Neutral,"Peer recommendation, Career growth, Exam preparation, Other, Hobby learning","Improve current job skills, Networking, Earn certifications, Other, Pass exams","Business, Other, Science, Humanities, Languages","Other, Quizzes, Recorded videos, Live classes, Personalized content","Price, Tutor quality, App design, Peer reviews","Technical issues, Poor internet, Time management, Lack of motivation",4,3-5,Yes,Value for money,Yes,Monthly subscription,20-50,,5,Yes,"Quizzes, Downloadable resources, Community forums, Progress tracking","Skillshare, Unacademy, Byju’s, Udemy, Coursera, None",Better support
55+,Female,Postgraduate,1000-2000,Working Professional,Sudan,East Jesse,Single,No,Not applicable,Smartphone,Excellent,2-4,Night,Blended,4,Facebook,Always,Text,No,Appealing,"Career growth, Other, Certification, Peer recommendation","Earn certifications, Other, Pass exams, Improve current job skills, Personal enrichment","Humanities, Other, Exam prep, Science, Arts, Languages","Live classes, Gamification, Offline access, Peer interaction","Other, Customer support, Certification, Content quality, Peer reviews, Price","Boring content, Other, Cost, Distractions",5,6-10,Yes,Other,No,Pay per course,<10,"No payment method, Prefer free content, Lack of reviews, Price, Other, Complicated signup",4,Yes,"Downloadable resources, Leaderboards, Quizzes, Discussion boards, Community forums","Other, Khan Academy, Skillshare, Udemy, Coursera, Unacademy",Better support
25-34,Female,Postgraduate,2000-5000,Working Professional,Haiti,Joshuamouth,Single,No,Not applicable,Smartphone,Good,2-4,Evening,Self-paced,1,Instagram,Sometimes,Influencer post,Yes,Unappealing,"Other, Parental suggestion, Peer recommendation, Certification, Academic help, Exam preparation","Pass exams, Other, Personal enrichment, Start a business","Business, Technology, Science, Exam prep, Other, Humanities","Offline access, Quizzes, Certificates, Recorded videos, Other, Gamification","Certification, Peer reviews, Price, Customer support","Lack of motivation, Other, Technical issues, Boring content, Cost, Poor internet",5,3-5,Yes,Parental advice,Yes,Pay per course,10-20,,2,No,"Leaderboards, Downloadable resources, Quizzes, Other, Notes/highlighting, Progress tracking","Other, edX, Khan Academy, Udemy, Skillshare",More languages
18-24,Female,Undergraduate,500-1000,Working Professional,Svalbard & Jan Mayen Islands,Riveraborough,Married,Yes,Yes,Smartphone,Excellent,4-6,Evening,Blended,4,Other,Sometimes,Influencer post,No,Neutral,"Certification, Peer recommendation, Parental suggestion, Other","Earn certifications, Get a new job, Personal enrichment, Networking, Improve current job skills","Science, Technology, Humanities, Arts, Other","Offline access, Personalized content, Quizzes, Certificates","Tutor quality, Other, Peer reviews, Customer support, Content quality","Cost, Time management, Distractions, Lack of motivation, Boring content, Poor internet",2,3-5,No,Unclear benefits,No,Annual subscription,10-20,"Privacy concerns, Other, Lack of reviews, No payment method, Prefer free content",2,Yes,"Quizzes, Leaderboards, Community forums, Other","edX, Khan Academy, Skillshare, Unacademy, Other",Better UI
18-24,Male,Undergraduate,>5000,Working Professional,Vanuatu,Jonesbury,Widowed,No,Not applicable,Tablet,Excellent,4-6,Evening,Live classes,5,Facebook,Sometimes,Video,Yes,Appealing,"Skill development, Career growth, Other, Parental suggestion","Improve current job skills, Start a business, Earn certifications, Get a new job, Pass exams","Arts, Technology, Languages, Other","Quizzes, Personalized content, Peer interaction, Offline access, Gamification, Live classes","Customer support, Content quality, Tutor quality, Other","Technical issues, Lack of motivation, Time management, Poor internet",5,>10,Yes,Lack of interest,No,Monthly subscription,10-20,"Prefer free content, No payment method, Other, Complicated signup, Privacy concerns, Lack of reviews",5,No,"Downloadable resources, Leaderboards, Quizzes, Notes/highlighting","Byju’s, Udemy, Coursera, None",Improved interaction
25-34,Male,Postgraduate,500-1000,Student,Estonia,Tonyabury,Single,No,Not applicable,Smartphone,Average,>6,Afternoon,Live classes,5,Facebook,Often,Pop-up,Somewhat,Appealing,"Exam preparation, Career growth, Other, Skill development, Certification, Parental suggestion","Personal enrichment, Earn certifications, Other, Switch careers, Start a business","Technology, Arts, Science, Humanities, Other","Gamification, Other, Offline access, Personalized content, Peer interaction","Flexibility, Certification, Price, Customer support","Time management, Poor internet, Technical issues, Distractions, Lack of motivation",3,1-2,Yes,Value for money,Yes,Pay per course,<10,,3,Yes,"Live sessions, Discussion boards, Downloadable resources, Leaderboards, Progress tracking","Byju’s, edX, Unacademy, None, Other, Udemy",More courses
18-24,Male,Postgraduate,500-1000,Working Professional,Turkey,Rodriguezhaven,Single,No,Not applicable,Laptop/PC,Good,2-4,Night,One-on-one,4,Instagram,Sometimes,Influencer post,Yes,Very appealing,"Skill development, Certification, Peer recommendation, Academic help","Get a new job, Improve current job skills, Pass exams, Earn certifications, Other, Switch careers","Humanities, Science, Other, Arts","Gamification, Quizzes, Peer interaction, Personalized content, Certificates","Content quality, Flexibility, Tutor quality, Peer reviews, Other","Lack of support, Distractions, Cost, Other, Technical issues",3,0,No,Unclear benefits,No,Monthly subscription,<10,"No payment method, Lack of reviews, Price, Prefer free content, Privacy concerns",4,Yes,"Downloadable resources, Notes/highlighting, Progress tracking, Discussion boards","Unacademy, Other, Khan Academy, None, edX",More courses
18-24,Male,Undergraduate,1000-2000,Working Professional,Vanuatu,North Shawntown,Single,No,Not applicable,Laptop/PC,Good,2-4,Evening,Group sessions,4,Google Search,Sometimes,Video,Yes,Very unappealing,"Exam preparation, Certification, Career growth, Academic help","Start a business, Pass exams, Earn certifications, Other, Improve current job skills","Technology, Humanities, Arts, Languages","Quizzes, Certificates, Personalized content, Live classes, Other, Peer interaction","Content quality, Peer reviews, Flexibility, Certification","Lack of support, Other, Lack of motivation, Distractions, Technical issues, Boring content",5,6-10,Yes,Value for money,No,One-time purchase,20-50,"Complicated signup, Other, Privacy concerns, No payment method, Prefer free content, Not enough content",4,Yes,"Downloadable resources, Other, Leaderboards, Progress tracking, Live sessions","Udemy, edX, Khan Academy, Other, None, Byju’s",More languages
35-44,Female,Undergraduate,1000-2000,Student,Svalbard & Jan Mayen Islands,Catherinemouth,Married,Yes,Yes,Laptop/PC,Good,2-4,Night,Live classes,3,Instagram,Never,Image,Somewhat,Appealing,"Exam preparation, Career growth, Other, Skill development, Hobby learning","Get a new job, Start a business, Switch careers, Other","Humanities, Arts, Exam prep, Science, Business","Live classes, Peer interaction, Gamification, Offline access, Certificates, Personalized content","Content quality, Peer reviews, Tutor quality, Flexibility, App design, Price","Cost, Time management, Poor internet, Lack of support",3,3-5,No,Interesting content,No,Monthly subscription,10-20,"Not enough content, Prefer free content, Price, Other",4,Yes,"Downloadable resources, Progress tracking, Live sessions, Leaderboards","None, Byju’s, Other, Coursera",More affordable
18-24,Male,Undergraduate,500-1000,Student,Bouvet Island (Bouvetoya),Matthewtown,Married,No,Not applicable,Tablet,Good,2-4,Evening,Self-paced,1,Facebook,Often,Pop-up,Yes,Very appealing,"Peer recommendation, Skill development, Exam preparation, Hobby learning","Other, Switch careers, Networking, Earn certifications","Languages, Exam prep, Business, Science","Other, Recorded videos, Offline access, Personalized content, Live classes, Quizzes","Tutor quality, Other, App design, Customer support, Content quality, Price","Distractions, Technical issues, Boring content, Lack of motivation, Lack of support",4,6-10,Yes,Trust in brand,Yes,Monthly subscription,<10,,5,Yes,"Downloadable resources, Notes/highlighting, Live sessions, Other, Community forums, Leaderboards","Unacademy, Coursera, Skillshare, Udemy",Better UI
25-34,Male,Postgraduate,<500,Working Professional,United States Minor Outlying Islands,Allisonport,Married,Yes,Yes,Smartphone,Good,4-6,Afternoon,Self-paced,4,YouTube,Often,Video,Somewhat,Very appealing,"Other, Skill development, Certification, Exam preparation, Parental suggestion","Earn certifications, Pass exams, Networking, Other, Start a business, Personal enrichment","Humanities, Science, Arts, Technology","Quizzes, Gamification, Other, Personalized content, Certificates","Peer reviews, Other, Content quality, Price, Flexibility","Other, Distractions, Lack of motivation, Lack of support, Technical issues",5,3-5,Yes,Other,No,Monthly subscription,20-50,"Other, No payment method, Prefer free content, Not enough content",4,Yes,"Community forums, Notes/highlighting, Other, Quizzes","Byju’s, Khan Academy, Udemy, Coursera, Skillshare, Unacademy",More affordable
35-44,Male,Undergraduate,1000-2000,Student,Montserrat,South Brandonhaven,Single,Yes,No,Smartphone,Poor,1-2,Night,Self-paced,3,Instagram,Rarely,Text,Yes,Unappealing,"Skill development, Hobby learning, Other, Parental suggestion, Academic help","Get a new job, Personal enrichment, Start a business, Networking, Switch careers","Other, Technology, Arts, Business","Offline access, Certificates, Gamification, Live classes, Quizzes, Peer interaction","Peer reviews, Certification, Tutor quality, Customer support, Flexibility","Lack of support, Lack of motivation, Distractions, Time management, Poor internet, Boring content",2,1-2,Yes,Interesting content,Yes,Annual subscription,20-50,,4,Yes,"Community forums, Other, Discussion boards, Downloadable resources","Byju’s, Other, Udemy, edX",Better support
25-34,Female,Undergraduate,1000-2000,Student,Algeria,West Ryan,Other,No,Not applicable,Tablet,Good,2-4,Afternoon,Live classes,5,Facebook,Rarely,Text,Yes,Very appealing,"Skill development, Academic help, Certification, Parental suggestion","Other, Networking, Get a new job, Switch careers, Personal enrichment","Business, Science, Languages, Humanities, Arts","Peer interaction, Live classes, Quizzes, Personalized content, Other","Flexibility, Other, Tutor quality, App design","Cost, Poor internet, Lack of support, Time management",5,1-2,No,Lack of interest,No,Monthly subscription,20-50,"No payment method, Prefer free content, Lack of reviews, Complicated signup, Price",3,Yes,"Notes/highlighting, Leaderboards, Community forums, Other, Discussion boards","Skillshare, Byju’s, Other, Coursera, Unacademy",More live sessions
25-34,Female,Other,500-1000,Student,Cuba,West Nathan,Married,Yes,Yes,Smartphone,Average,2-4,Evening,Self-paced,5,Instagram,Never,Pop-up,Yes,Appealing,"Career growth, Skill development, Hobby learning, Certification","Other, Pass exams, Get a new job, Switch careers","Other, Business, Humanities, Languages, Technology","Personalized content, Other, Recorded videos, Quizzes, Live classes, Gamification","Customer support, Flexibility, Other, Tutor quality","Poor internet, Other, Boring content, Cost",1,1-2,Yes,Value for money,No,Annual subscription,10-20,"Price, No payment method, Complicated signup, Lack of reviews",4,Yes,"Downloadable resources, Notes/highlighting, Other, Leaderboards","edX, Coursera, Udemy, Other",More live sessions
18-24,Female,Undergraduate,500-1000,Student,Korea,Millerview,Married,No,Not applicable,Laptop/PC,Good,1-2,Afternoon,Live classes,3,Facebook,Often,Text,Somewhat,Appealing,"Parental suggestion, Academic help, Skill development, Other, Peer recommendation","Switch careers, Networking, Earn certifications, Personal enrichment","Technology, Languages, Exam prep, Other, Humanities","Personalized content, Quizzes, Certificates, Gamification","Customer support, Content quality, Peer reviews, Flexibility, Tutor quality, Certification","Boring content, Distractions, Time management, Lack of support",5,1-2,No,Unclear benefits,No,Annual subscription,10-20,"Prefer free content, Lack of reviews, Privacy concerns, Price, No payment method, Not enough content",5,Yes,"Leaderboards, Progress tracking, Live sessions, Notes/highlighting","Byju’s, edX, Unacademy, Udemy, Other, Coursera",Improved interaction
18-24,Male,Undergraduate,500-1000,Homemaker,Rwanda,West Chadmouth,Single,Yes,No,Laptop/PC,Good,2-4,Evening,Group sessions,3,Facebook,Rarely,Video,Somewhat,Very appealing,"Other, Skill development, Certification, Peer recommendation","Networking, Start a business, Other, Earn certifications, Get a new job","Technology, Exam prep, Languages, Other, Business, Arts","Personalized content, Offline access, Live classes, Peer interaction, Gamification, Certificates","App design, Certification, Flexibility, Peer reviews, Other","Time management, Distractions, Lack of support, Technical issues, Boring content, Poor internet",3,3-5,Yes,Trust in brand,No,Annual subscription,10-20,"Privacy concerns, Other, Not enough content, Lack of reviews",5,No,"Notes/highlighting, Downloadable resources, Progress tracking, Leaderboards, Quizzes","Skillshare, Other, Byju’s, edX, Udemy, Khan Academy",Better UI
35-44,Male,Postgraduate,500-1000,Student,Georgia,North Kellistad,Single,Yes,Not applicable,Smartphone,Good,>6,Afternoon,Group sessions,3,Instagram,Never,Video,Yes,Appealing,"Certification, Other, Peer recommendation, Hobby learning","Networking, Pass exams, Earn certifications, Get a new job","Humanities, Business, Science, Exam prep, Arts","Live classes, Personalized content, Peer interaction, Recorded videos","App design, Price, Content quality, Peer reviews, Flexibility","Time management, Other, Boring content, Technical issues, Poor internet, Lack of motivation",3,6-10,No,Interesting content,No,Pay per course,10-20,"Complicated signup, Prefer free content, Price, Not enough content, Lack of reviews, Privacy concerns",5,Yes,"Leaderboards, Notes/highlighting, Community forums, Quizzes, Other, Discussion boards","Coursera, Unacademy, edX, Byju’s, Udemy, None",Better UI
25-34,Female,Postgraduate,<500,Student,Chile,New Maryborough,Single,Yes,Not applicable,Smart TV,Good,1-2,Afternoon,Self-paced,2,LinkedIn,Never,Image,Somewhat,Very appealing,"Certification, Skill development, Exam preparation, Other, Academic help","Other, Get a new job, Pass exams, Improve current job skills, Switch careers, Earn certifications","Other, Science, Arts, Technology","Quizzes, Other, Peer interaction, Recorded videos","Other, Price, App design, Content quality","Boring content, Poor internet, Distractions, Other",4,1-2,No,Unclear benefits,No,Pay per course,50-100,"Other, Privacy concerns, No payment method, Lack of reviews",3,No,"Discussion boards, Live sessions, Downloadable resources, Other, Notes/highlighting, Quizzes","Coursera, Skillshare, Unacademy, Byju’s, Udemy",More languages
45-54,Female,Postgraduate,1000-2000,Retired,Kyrgyz Republic,Port Jonathanstad,Single,No,Not applicable,Laptop/PC,Good,2-4,Evening,Live classes,5,YouTube,Sometimes,Video,Yes,Very appealing,"Skill development, Certification, Peer recommendation, Hobby learning, Parental suggestion","Other, Get a new job, Improve current job skills, Networking, Start a business, Switch careers","Science, Other, Technology, Arts","Certificates, Offline access, Peer interaction, Recorded videos","Content quality, App design, Customer support, Other, Price, Certification","Boring content, Lack of support, Other, Technical issues, Cost, Poor internet",4,1-2,No,Interesting content,No,Monthly subscription,10-20,"Other, Price, Not enough content, Privacy concerns, Prefer free content",4,Yes,"Discussion boards, Leaderboards, Live sessions, Other, Community forums","edX, Other, Skillshare, None, Udemy, Coursera",More affordable
25-34,Male,Undergraduate,1000-2000,Working Professional,Lesotho,Christophertown,Widowed,No,Not applicable,Laptop/PC,Good,>6,Night,Live classes,5,Facebook,Never,Pop-up,Yes,Appealing,"Certification, Exam preparation, Hobby learning, Skill development","Earn certifications, Personal enrichment, Improve current job skills, Pass exams, Start a business, Switch careers","Other, Languages, Science, Technology, Humanities, Exam prep","Offline access, Certificates, Other, Quizzes","Price, Customer support, App design, Peer reviews","Technical issues, Poor internet, Distractions, Lack of motivation, Lack of support, Other",5,1-2,No,Other,No,Free only,10-20,"Other, Not enough content, Price, Lack of reviews, Prefer free content",4,Yes,"Discussion boards, Other, Notes/highlighting, Downloadable resources, Progress tracking, Leaderboards","edX, Byju’s, Udemy, None",Improved interaction
25-34,Female,Postgraduate,>5000,Entrepreneur,Swaziland,Stephanieland,Single,Yes,No,Laptop/PC,Good,2-4,Afternoon,Group sessions,4,YouTube,Sometimes,Text,Somewhat,Neutral,"Other, Hobby learning, Academic help, Certification","Other, Switch careers, Personal enrichment, Earn certifications","Arts, Science, Humanities, Business, Exam prep, Other","Offline access, Recorded videos, Certificates, Personalized content, Live classes, Gamification","App design, Flexibility, Tutor quality, Customer support, Price","Distractions, Lack of support, Poor internet, Other",5,1-2,No,Other,No,Pay per course,50-100,"Complicated signup, Not enough content, Lack of reviews, No payment method, Privacy concerns, Price",3,Yes,"Quizzes, Leaderboards, Other, Discussion boards, Live sessions","Skillshare, Byju’s, Udemy, Unacademy",More courses
18-24,Female,High School,>5000,Student,South Africa,Kimberlyborough,Married,No,Not applicable,Smartphone,Excellent,4-6,Evening,Self-paced,4,Instagram,Never,Video,Yes,Neutral,"Career growth, Exam preparation, Other, Skill development","Personal enrichment, Improve current job skills, Other, Pass exams, Earn certifications, Start a business","Science, Exam prep, Languages, Other, Technology","Certificates, Quizzes, Live classes, Gamification, Recorded videos","Flexibility, Certification, Price, Other, Content quality, Peer reviews","Lack of motivation, Lack of support, Poor internet, Technical issues",5,6-10,Yes,Lack of interest,Yes,Monthly subscription,<10,,4,No,"Downloadable resources, Notes/highlighting, Quizzes, Other, Community forums","Unacademy, edX, Coursera, None, Khan Academy",More affordable
25-34,Male,Undergraduate,500-1000,Student,Cook Islands,Port Doris,Married,No,Not applicable,Other,Good,4-6,Evening,One-on-one,4,Facebook,Never,Influencer post,Yes,Neutral,"Career growth, Exam preparation, Skill development, Peer recommendation","Personal enrichment, Switch careers, Other, Networking, Get a new job","Exam prep, Humanities, Arts, Other, Languages, Technology","Personalized content, Gamification, Certificates, Peer interaction","Certification, Other, App design, Content quality","Time management, Technical issues, Boring content, Lack of motivation",5,3-5,Yes,Value for money,No,Pay per course,10-20,"Privacy concerns, Lack of reviews, No payment method, Other, Complicated signup, Prefer free content",5,Yes,"Downloadable resources, Leaderboards, Progress tracking, Notes/highlighting, Other","Coursera, Other, Khan Academy, None",Better UI
25-34,Female,High School,1000-2000,Student,United Kingdom,East Benjaminmouth,Married,No,Not applicable,Laptop/PC,Good,4-6,Evening,One-on-one,5,Instagram,Never,Image,Yes,Appealing,"Hobby learning, Skill development, Exam preparation, Certification, Peer recommendation","Start a business, Networking, Pass exams, Other, Personal enrichment, Improve current job skills","Arts, Humanities, Science, Languages, Other, Technology","Certificates, Live classes, Quizzes, Peer interaction, Other","Flexibility, Customer support, Tutor quality, Certification, Peer reviews, Content quality","Lack of motivation, Distractions, Boring content, Other",1,1-2,No,Value for money,No,Monthly subscription,>100,"Not enough content, Price, Privacy concerns, Lack of reviews, No payment method, Prefer free content",1,No,"Community forums, Notes/highlighting, Quizzes, Leaderboards, Progress tracking","Khan Academy, Other, Skillshare, edX",Better UI
18-24,Female,Other,<500,Student,Heard Island and McDonald Islands,Jacobsontown,Married,No,Not applicable,Laptop/PC,Good,4-6,Evening,Self-paced,4,YouTube,Rarely,Pop-up,Yes,Neutral,"Career growth, Academic help, Hobby learning, Peer recommendation, Exam preparation","Earn certifications, Switch careers, Improve current job skills, Start a business, Personal enrichment, Networking","Science, Humanities, Exam prep, Arts","Peer interaction, Quizzes, Offline access, Recorded videos, Live classes","Customer support, Other, App design, Content quality, Price, Tutor quality","Poor internet, Lack of support, Time management, Boring content, Other",2,0,Yes,Trust in brand,No,Pay per course,20-50,"Complicated signup, Lack of reviews, No payment method, Price, Not enough content, Other",3,Yes,"Discussion boards, Other, Downloadable resources, Quizzes, Notes/highlighting, Live sessions","edX, Byju’s, Other, Coursera, Unacademy",More live sessions
25-34,Prefer not to say,Postgraduate,2000-5000,Student,Romania,Susanview,Married,Yes,Not applicable,Smartphone,Good,>6,Afternoon,Self-paced,3,Instagram,Never,Image,Somewhat,Appealing,"Parental suggestion, Career growth, Skill development, Exam preparation","Improve current job skills, Pass exams, Personal enrichment, Earn certifications","Technology, Science, Arts, Languages","Recorded videos, Offline access, Other, Certificates, Quizzes, Live classes","Tutor quality, Customer support, Other, Content quality","Other, Cost, Distractions, Poor internet, Time management, Lack of support",3,>10,Yes,Parental advice,Yes,Free only,10-20,,5,Yes,"Other, Community forums, Leaderboards, Live sessions, Quizzes","Khan Academy, Other, Skillshare, Unacademy, None",Better UI
18-24,Male,Postgraduate,1000-2000,Student,Greece,Wrightfurt,Single,No,Not applicable,Smartphone,Good,2-4,Evening,Self-paced,2,Instagram,Rarely,Influencer post,Somewhat,Very appealing,"Exam preparation, Parental suggestion, Academic help, Skill development, Other, Certification","Earn certifications, Networking, Other, Start a business, Personal enrichment","Languages, Arts, Other, Humanities, Technology","Offline access, Personalized content, Peer interaction, Recorded videos, Other, Live classes","App design, Other, Peer reviews, Certification, Content quality","Poor internet, Cost, Lack of motivation, Other, Boring content, Time management",3,3-5,Yes,Unclear benefits,No,Monthly subscription,20-50,"Lack of reviews, Privacy concerns, Prefer free content, Price",4,No,"Progress tracking, Leaderboards, Community forums, Live sessions, Other, Notes/highlighting","Coursera, None, Skillshare, Udemy",Better UI
18-24,Female,Undergraduate,500-1000,Working Professional,China,South Brendaton,Single,No,Not applicable,Smartphone,Average,>6,Afternoon,Self-paced,4,YouTube,Sometimes,Image,Yes,Very unappealing,"Other, Career growth, Peer recommendation, Skill development, Hobby learning","Improve current job skills, Personal enrichment, Start a business, Pass exams, Other","Languages, Science, Arts, Other, Technology","Live classes, Other, Gamification, Peer interaction, Quizzes","Customer support, Content quality, Certification, Tutor quality","Other, Technical issues, Lack of support, Distractions, Boring content, Lack of motivation",4,3-5,No,Unclear benefits,No,Annual subscription,50-100,"Prefer free content, Complicated signup, Price, Lack of reviews, No payment method",4,No,"Downloadable resources, Discussion boards, Leaderboards, Notes/highlighting, Community forums","Unacademy, edX, Other, Coursera",More live sessions
25-34,Male,Undergraduate,1000-2000,Student,Singapore,Sarahton,Married,Yes,Not applicable,Tablet,Good,4-6,Early morning,Live classes,5,Instagram,Never,Video,Yes,Appealing,"Academic help, Peer recommendation, Other, Hobby learning, Parental suggestion, Exam preparation","Networking, Pass exams, Switch careers, Start a business, Personal enrichment","Exam prep, Languages, Business, Science, Technology","Other, Offline access, Live classes, Gamification","Content quality, Price, Certification, Other, Tutor quality","Distractions, Boring content, Poor internet, Cost, Time management, Lack of support",5,3-5,No,Interesting content,No,Annual subscription,<10,"Other, Complicated signup, Privacy concerns, Prefer free content, Price",3,Yes,"Live sessions, Downloadable resources, Notes/highlighting, Community forums, Discussion boards, Leaderboards","Khan Academy, Other, Coursera, Udemy, Byju’s",Better UI
25-34,Male,Undergraduate,<500,Working Professional,Guadeloupe,Lake Steven,Single,No,Not applicable,Smart TV,Excellent,2-4,Early morning,Blended,3,WhatsApp,Rarely,Text,Yes,Very appealing,"Peer recommendation, Academic help, Hobby learning, Other, Skill development","Get a new job, Other, Earn certifications, Networking","Other, Exam prep, Business, Humanities","Personalized content, Live classes, Quizzes, Other","Customer support, Flexibility, Content quality, Peer reviews, App design, Other","Technical issues, Distractions, Time management, Cost, Lack of motivation, Other",4,3-5,Yes,Parental advice,No,One-time purchase,20-50,"Other, Lack of reviews, Privacy concerns, Prefer free content, Not enough content",4,Yes,"Discussion boards, Leaderboards, Community forums, Other, Downloadable resources","Unacademy, None, Coursera, Byju’s",Better UI
25-34,Male,High School,500-1000,Homemaker,Vanuatu,Douglashaven,Married,Yes,No,Smartphone,Average,2-4,Evening,Live classes,2,Facebook,Often,Image,Somewhat,Neutral,"Skill development, Certification, Other, Academic help, Career growth, Exam preparation, Peer recommendation, Hobby learning, Parental suggestion","Get a new job, Other, Pass exams, Personal enrichment, Earn certifications, Networking","Arts, Languages, Humanities, Business, Exam prep, Technology","Quizzes, Certificates, Gamification, Other, Recorded videos","Customer support, Price, Other, Peer reviews, App design","Lack of support, Distractions, Other, Lack of motivation",4,6-10,Yes,Value for money,No,Monthly subscription,10-20,"Lack of reviews, Privacy concerns, Price, Other, No payment method",5,Yes,"Downloadable resources, Live sessions, Leaderboards, Notes/highlighting","Udemy, Khan Academy, Unacademy, None, Coursera, Byju’s",More languages
